SampleID,Cancer,Sample Code,Sample Type,EXTEND Scores
TCGA.4Z.AA7S.01A.11R.A39I.07,BLCA,01,tumor,0.572350346
TCGA.4Z.AA7W.01A.11R.A39I.07,BLCA,01,tumor,0.537390275
TCGA.4Z.AA7Y.01A.11R.A39I.07,BLCA,01,tumor,0.561387775
TCGA.4Z.AA80.01A.11R.A39I.07,BLCA,01,tumor,0.710175743
TCGA.4Z.AA81.01A.11R.A39I.07,BLCA,01,tumor,0.621937008
TCGA.4Z.AA82.01A.11R.A39I.07,BLCA,01,tumor,0.4845738
TCGA.4Z.AA83.01A.11R.A39I.07,BLCA,01,tumor,0.431247941
TCGA.4Z.AA84.01A.11R.A39I.07,BLCA,01,tumor,0.669321527
TCGA.4Z.AA86.01A.11R.A39I.07,BLCA,01,tumor,0.672310374
TCGA.4Z.AA87.01A.11R.A39I.07,BLCA,01,tumor,0.722088985
TCGA.4Z.AA89.01A.11R.A39I.07,BLCA,01,tumor,0.519610179
TCGA.5N.A9KI.01A.31R.A42T.07,BLCA,01,tumor,0.355306928
TCGA.5N.A9KM.01A.11R.A42T.07,BLCA,01,tumor,0.413351788
TCGA.BL.A13I.01A.11R.A13Y.07,BLCA,01,tumor,0.567225632
TCGA.BL.A13J.01A.11R.A10U.07,BLCA,01,tumor,0.502819172
TCGA.BL.A3JM.01A.12R.A21D.07,BLCA,01,tumor,0.645201866
TCGA.BL.A5ZZ.01A.31R.A30C.07,BLCA,01,tumor,0.383633327
TCGA.BT.A0S7.01A.11R.A10U.07,BLCA,01,tumor,0.571957958
TCGA.BT.A0YX.01A.11R.A10U.07,BLCA,01,tumor,0.51373519
TCGA.BT.A20J.01A.11R.A14Y.07,BLCA,01,tumor,0.526133787
TCGA.BT.A20N.01A.11R.A14Y.07,BLCA,01,tumor,0.605855465
TCGA.BT.A20O.01A.21R.A14Y.07,BLCA,01,tumor,0.551954921
TCGA.BT.A20P.01A.11R.A14Y.07,BLCA,01,tumor,0.553223578
TCGA.BT.A20Q.01A.11R.A14Y.07,BLCA,01,tumor,0.382894882
TCGA.BT.A20R.01A.12R.A16R.07,BLCA,01,tumor,0.380832521
TCGA.BT.A20T.01A.11R.A14Y.07,BLCA,01,tumor,0.458340033
TCGA.BT.A20U.01A.11R.A14Y.07,BLCA,01,tumor,0.577049539
TCGA.BT.A20V.01A.11R.A14Y.07,BLCA,01,tumor,0.678344956
TCGA.BT.A20W.01A.21R.A14Y.07,BLCA,01,tumor,0.481516186
TCGA.BT.A20X.01A.11R.A16R.07,BLCA,01,tumor,0.39145573
TCGA.BT.A2LA.01A.11R.A18C.07,BLCA,01,tumor,0.691308466
TCGA.BT.A2LB.01A.11R.A18C.07,BLCA,01,tumor,0.539656862
TCGA.BT.A2LD.01A.12R.A20F.07,BLCA,01,tumor,0.484139384
TCGA.BT.A3PH.01A.11R.A220.07,BLCA,01,tumor,0.496228692
TCGA.BT.A3PJ.01A.21R.A220.07,BLCA,01,tumor,0.63510302
TCGA.BT.A3PK.01A.21R.A220.07,BLCA,01,tumor,0.442219963
TCGA.BT.A42C.01A.11R.A23N.07,BLCA,01,tumor,0.565995806
TCGA.BT.A42E.01A.11R.A23W.07,BLCA,01,tumor,0.568219691
TCGA.BT.A42F.01A.11R.A23W.07,BLCA,01,tumor,0.594191253
TCGA.C4.A0EZ.01A.21R.A24X.07,BLCA,01,tumor,0.804739272
TCGA.C4.A0F0.01A.12R.A10U.07,BLCA,01,tumor,0.56078354
TCGA.C4.A0F1.01A.11R.A034.07,BLCA,01,tumor,0.496525773
TCGA.C4.A0F6.01A.11R.A10U.07,BLCA,01,tumor,0.459524583
TCGA.C4.A0F7.01A.11R.A084.07,BLCA,01,tumor,0.549022593
TCGA.CF.A1HR.01A.11R.A13Y.07,BLCA,01,tumor,0.50471026
TCGA.CF.A1HS.01A.11R.A13Y.07,BLCA,01,tumor,0.575927171
TCGA.CF.A27C.01A.11R.A16R.07,BLCA,01,tumor,0.546122371
TCGA.CF.A3MF.01A.12R.A21D.07,BLCA,01,tumor,0.785295383
TCGA.CF.A3MG.01A.11R.A20F.07,BLCA,01,tumor,0.608485574
TCGA.CF.A3MH.01A.11R.A20F.07,BLCA,01,tumor,0.529224924
TCGA.CF.A3MI.01A.11R.A20F.07,BLCA,01,tumor,0.424726049
TCGA.CF.A47S.01A.11R.A23W.07,BLCA,01,tumor,0.37485301
TCGA.CF.A47T.01A.11R.A23W.07,BLCA,01,tumor,0.55028619
TCGA.CF.A47V.01A.11R.A23W.07,BLCA,01,tumor,0.472604497
TCGA.CF.A47W.01A.11R.A23W.07,BLCA,01,tumor,0.411566804
TCGA.CF.A47X.01A.31R.A23W.07,BLCA,01,tumor,0.473613294
TCGA.CF.A47Y.01A.11R.A23W.07,BLCA,01,tumor,0.403066377
TCGA.CF.A5U8.01A.11R.A28M.07,BLCA,01,tumor,0.412778606
TCGA.CF.A5UA.01A.11R.A28M.07,BLCA,01,tumor,0.426739209
TCGA.CF.A7I0.01A.22R.A352.07,BLCA,01,tumor,0.401057295
TCGA.CF.A8HX.01A.11R.A36F.07,BLCA,01,tumor,0.643499224
TCGA.CF.A8HY.01A.11R.A36F.07,BLCA,01,tumor,0.391564847
TCGA.CF.A9FF.01A.11R.A38B.07,BLCA,01,tumor,0.508271936
TCGA.CF.A9FH.01A.11R.A38B.07,BLCA,01,tumor,0.549646317
TCGA.CF.A9FL.01A.11R.A38B.07,BLCA,01,tumor,0.434988926
TCGA.CU.A0YN.01A.21R.A10U.07,BLCA,01,tumor,0.5908874
TCGA.CU.A0YO.01A.11R.A10U.07,BLCA,01,tumor,0.384132246
TCGA.CU.A0YR.01A.12R.A10U.07,BLCA,01,tumor,0.445780235
TCGA.CU.A3KJ.01A.11R.A21D.07,BLCA,01,tumor,0.482956179
TCGA.CU.A3QU.01A.11R.A22U.07,BLCA,01,tumor,0.619289913
TCGA.CU.A3YL.01A.11R.A22U.07,BLCA,01,tumor,0.419036879
TCGA.CU.A5W6.01A.11R.A28M.07,BLCA,01,tumor,0.431750042
TCGA.CU.A72E.01A.12R.A33J.07,BLCA,01,tumor,0.486655118
TCGA.DK.A1A3.01A.11R.A13Y.07,BLCA,01,tumor,0.459160435
TCGA.DK.A1A5.01A.11R.A13Y.07,BLCA,01,tumor,0.479857959
TCGA.DK.A1A6.01A.11R.A13Y.07,BLCA,01,tumor,0.598535546
TCGA.DK.A1A7.01A.11R.A13Y.07,BLCA,01,tumor,0.514731148
TCGA.DK.A1AA.01A.11R.A13Y.07,BLCA,01,tumor,0.444822172
TCGA.DK.A1AB.01A.11R.A13Y.07,BLCA,01,tumor,0.352426244
TCGA.DK.A1AC.01A.11R.A13Y.07,BLCA,01,tumor,0.615840629
TCGA.DK.A1AD.01A.11R.A13Y.07,BLCA,01,tumor,0.633397963
TCGA.DK.A1AE.01A.11R.A13Y.07,BLCA,01,tumor,0.637457056
TCGA.DK.A1AF.01A.11R.A13Y.07,BLCA,01,tumor,0.310294205
TCGA.DK.A1AG.01A.11R.A13Y.07,BLCA,01,tumor,0.502288513
TCGA.DK.A2HX.01A.12R.A18C.07,BLCA,01,tumor,0.329603656
TCGA.DK.A2I1.01A.11R.A180.07,BLCA,01,tumor,0.39549724
TCGA.DK.A2I2.01A.11R.A180.07,BLCA,01,tumor,0.501091341
TCGA.DK.A2I4.01A.11R.A21D.07,BLCA,01,tumor,0.458257376
TCGA.DK.A2I6.01A.12R.A18C.07,BLCA,01,tumor,0.694651654
TCGA.DK.A3IK.01A.32R.A21D.07,BLCA,01,tumor,0.369432702
TCGA.DK.A3IL.01A.11R.A20F.07,BLCA,01,tumor,0.525671069
TCGA.DK.A3IM.01A.11R.A20F.07,BLCA,01,tumor,0.598275293
TCGA.DK.A3IN.01A.11R.A20F.07,BLCA,01,tumor,0.53953691
TCGA.DK.A3IQ.01A.31R.A32Y.07,BLCA,01,tumor,0.249015735
TCGA.DK.A3IS.01A.21R.A21D.07,BLCA,01,tumor,0.606858655
TCGA.DK.A3IT.01A.31R.A20F.07,BLCA,01,tumor,0.693519066
TCGA.DK.A3IU.01A.11R.A20F.07,BLCA,01,tumor,0.453685115
TCGA.DK.A3IV.01A.22R.A21D.07,BLCA,01,tumor,0.650439257
TCGA.DK.A3WW.01A.22R.A23N.07,BLCA,01,tumor,0.544435023
TCGA.DK.A3WX.01A.22R.A22U.07,BLCA,01,tumor,0.672654519
TCGA.DK.A3WY.01A.11R.A22U.07,BLCA,01,tumor,0.607462327
TCGA.DK.A3X1.01A.12R.A22U.07,BLCA,01,tumor,0.577411326
TCGA.DK.A3X2.01A.11R.A22U.07,BLCA,01,tumor,0.637292226
TCGA.DK.A6AV.01A.12R.A30C.07,BLCA,01,tumor,0.549223317
TCGA.DK.A6AW.01A.11R.A30C.07,BLCA,01,tumor,0.381969898
TCGA.DK.A6B0.01A.11R.A31N.07,BLCA,01,tumor,0.430842659
TCGA.DK.A6B1.01A.12R.A30C.07,BLCA,01,tumor,0.516093876
TCGA.DK.A6B5.01A.11R.A31N.07,BLCA,01,tumor,0.559396509
TCGA.DK.A6B6.01A.11R.A30C.07,BLCA,01,tumor,0.470034832
TCGA.DK.AA6L.01A.11R.A39I.07,BLCA,01,tumor,0.591498475
TCGA.DK.AA6M.01A.11R.A39I.07,BLCA,01,tumor,0.440767004
TCGA.DK.AA6P.01A.11R.A39I.07,BLCA,01,tumor,0.510670118
TCGA.DK.AA6Q.01A.11R.A39I.07,BLCA,01,tumor,0.622183797
TCGA.DK.AA6R.01A.11R.A42T.07,BLCA,01,tumor,0.601369362
TCGA.DK.AA6S.01A.21R.A39I.07,BLCA,01,tumor,0.408516135
TCGA.DK.AA6T.01A.11R.A39I.07,BLCA,01,tumor,0.749311913
TCGA.DK.AA6U.01A.11R.A39I.07,BLCA,01,tumor,0.598191816
TCGA.DK.AA6W.01A.12R.A39I.07,BLCA,01,tumor,0.81879128
TCGA.DK.AA6X.01A.12R.A42T.07,BLCA,01,tumor,0.480312862
TCGA.DK.AA71.01A.31R.A39I.07,BLCA,01,tumor,0.4896154
TCGA.DK.AA74.01A.11R.A39I.07,BLCA,01,tumor,0.412469951
TCGA.DK.AA75.01A.11R.A39I.07,BLCA,01,tumor,0.696346407
TCGA.DK.AA76.01A.11R.A39I.07,BLCA,01,tumor,0.460942623
TCGA.DK.AA77.01A.11R.A39I.07,BLCA,01,tumor,0.609592373
TCGA.E5.A2PC.01A.11R.A206.07,BLCA,01,tumor,0.574243439
TCGA.E5.A4TZ.01A.11R.A31N.07,BLCA,01,tumor,0.643617323
TCGA.E5.A4U1.01A.11R.A31N.07,BLCA,01,tumor,0.926050365
TCGA.E7.A3X6.01A.12R.A22U.07,BLCA,01,tumor,0.44675509
TCGA.E7.A3Y1.01A.11R.A22U.07,BLCA,01,tumor,0.485326746
TCGA.E7.A4IJ.01A.31R.A26T.07,BLCA,01,tumor,0.546214451
TCGA.E7.A4XJ.01A.11R.A26T.07,BLCA,01,tumor,0.458181554
TCGA.E7.A519.01A.11R.A26T.07,BLCA,01,tumor,0.361579333
TCGA.E7.A541.01A.11R.A26T.07,BLCA,01,tumor,0.611671561
TCGA.E7.A5KE.01A.11R.A28M.07,BLCA,01,tumor,0.640795782
TCGA.E7.A5KF.01A.11R.A28M.07,BLCA,01,tumor,0.554966483
TCGA.E7.A677.01A.11R.A30C.07,BLCA,01,tumor,0.468087032
TCGA.E7.A678.01A.11R.A30C.07,BLCA,01,tumor,0.428269758
TCGA.E7.A6MD.01A.41R.A352.07,BLCA,01,tumor,0.431431317
TCGA.E7.A6ME.01A.22R.A32O.07,BLCA,01,tumor,0.568402615
TCGA.E7.A6MF.01A.12R.A32O.07,BLCA,01,tumor,0.316950319
TCGA.E7.A7DU.01A.11R.A32O.07,BLCA,01,tumor,0.47717634
TCGA.E7.A7DV.01A.11R.A33J.07,BLCA,01,tumor,0.525139107
TCGA.E7.A7PW.01A.11R.A352.07,BLCA,01,tumor,0.480377129
